question,type,choice1,c1,choice2,c2,choice3,c3,choice4,c4,choice5,c5,explanation
How often are 'Prime Minister's Questions' held in the parliament?,The UK government and your role,Every day,FALSE,Every week,TRUE,Every two weeks,FALSE,Once a month,FALSE,,,Prime Minister's Questions takes place every week while Parliament is sitting.
Which king was executed in 1649?,A long and illustrious history,James I,FALSE,Charles II,FALSE,James VII,FALSE,Charles I,TRUE,,,The correct answer is Charles I.
Where was William Shakespeare born?,Historical figures,Manchester,FALSE,Oldham,FALSE,Stratford-upon-Avon,TRUE,Lincolnshire,FALSE,,,"Shakespeare was born in Stratford-upon-Avon, England."
Which two of the following are famous British Paralympians?,Sports and recreation,Dame Kelly Holmes,FALSE,Baroness Tanni Grey-Thompson,TRUE,Jayne Torvill,FALSE,Ellie Simmonds,TRUE,,,Baroness Tanni Grey-Thompson and Ellie Simmonds are the correct answers.
Who was reigning in England when English settlers first began to colonise the eastern coast of America?,Historical figures,Queen Victoria,FALSE,Henry VIII,FALSE,Elizabeth I,TRUE,Charles II,FALSE,,,"In Elizabeth I's time, English settlers first began to colonise the eastern coast of America."
Scotland and Wales use a system called 'individual registration' where all those entitled to vote must complete their own registration form.,Government and the law,TRUE,FALSE,FALSE,TRUE,,,,,,,false. Northern Ireland uses a system called 'individual registration' and all those entitled to vote must complete their own registration form.
On what day is the birth of Jesus Christ celebrated?,Arts and culture,Father's Day,FALSE,Christmas Day,TRUE,New Year,FALSE,Boxing Day,FALSE,,,"Christmas Day, 25th of December, celebrates the birth of Jesus Christ."
"What sort of battle was the 'Battle of Britain', fought between Germany and Britain in the summer of 1940?",Historical events,A battle in the sea,FALSE,An aerial battle,TRUE,A battle in the mountains,FALSE,A battle without rifles,FALSE,,,The Battle of Britain' was a crucial aerial battle fought between Germany and Britain in the summer of 1940.
Where is Swansea located?,Geography and landmarks,England,FALSE,Northern Ireland,FALSE,Scotland,FALSE,Wales,TRUE,,,Swansea is located in Wales.
Which two political parties formed a coalition in 2010?,The UK government and your role,The Conservative Party,TRUE,The Green Party,FALSE,The Labour Party,FALSE,The Liberal Democrats Party,TRUE,,,"In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
Who established the Church of England?,A long and illustrious history,Henry VIII,TRUE,Oliver Cromwell,FALSE,Winston Churchill,FALSE,William of Orange,FALSE,,,The correct answer is Henry VIII.
"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?",A long and illustrious history,Measles,FALSE,Leprosy,FALSE,Smallpox,FALSE,The Black Death,TRUE,,,"In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."
Haggis is a traditional food from which area?,Arts and culture,Wales,FALSE,England,FALSE,Northern Ireland,FALSE,Scotland,TRUE,,,Haggis is a traditional food from Scotland.
Which court deals with minor criminal offences in Scotland?,Government and the law,The Sheriff Court,FALSE,The Magistrates' Court,FALSE,The Crown Court,FALSE,The Justice of the Peace Court,TRUE,,,"In Scotland, minor criminal offences go to a Justice of the Peace Court."
Which two of the following records give us information about England during the reign of William I?,A long and illustrious history,The Magna Carta,FALSE,The Domesday Book,TRUE,The Bayeux Tapestry,TRUE,The Canterbury Tales,FALSE,,,William I aka William the conqueror.  The Domesday Book and the Bayeux Tapestry.
"In 1913, the British government promised 'Home Rule' for Ireland, why were changes in Ireland delayed until 1921?",The UK government and your role,Due to the outbreak of the First World War,TRUE,Due to the outbreak of the Second World War,FALSE,Because there was not a king on the British throne,FALSE,Due to the outbreak of the Black Death,FALSE,,,The outbreak of the First World War led the British government to postpone any changes in Ireland.
Which of the following statements is true:,The UK values and principles,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.,TRUE,Elizabeth I was a Catholic and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.,FALSE,,,,,,,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.
Which two documents do you need to apply for a National Insurance number?,The UK government and your role,"A document with your address on it, such as a tenancy agreement",FALSE,Documents that prove that you have permission to work in the UK,TRUE,A contract from your employer,FALSE,Documents that prove your identity,TRUE,,,To apply for a National Insurance number you need documents that prove your identity and that you have permission to work in the UK.
"As a British citizen, you should: (choose two answers)",The UK values and principles,Respect and obey the law,TRUE,Vote in all elections,FALSE,Take part in religious activities,FALSE,Look after the area in which you live and the environment,TRUE,,,As a British citizen you should respect and obey the law and look after the area in which you live and the environment are the correct answers.
When is Halloween celebrated?,Arts and culture,5th of November,FALSE,11th of November,FALSE,31st of October,TRUE,1st of April,FALSE,,,Halloween is celebrated on the 31st of October.
The Bill of Rights in 1689 gave women the right to vote.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,"false. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king's power."
What is the name of the most famous cricket competition played between England and Australia?,Arts and culture,The Ashes,TRUE,The Six Nations Championship,FALSE,The Grand National,FALSE,The Australian Open,FALSE,,,"The most famous cricket competition is the Ashes, which is a series of Test matches played between England and Australia."
What was the biggest source of employment during the 18th century?,A long and illustrious history,Fishing,FALSE,Teaching,FALSE,Aircraft industry,FALSE,Manufacturing,TRUE,,,"During the 18th century, manufacturing jobs became the main source of employment in Britain."
"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the battle of Bannockburn, and Scotland remained unconquered by the English.",A long and illustrious history,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
Which of the following is an example of criminal offence?,Government and the law,Smoking in public places where it is not allowed,TRUE,Disputes about faulty goods or services,FALSE,Disputes about an unfair dismissal in the workplace,FALSE,A dispute between the landlord and the tenants who have not paid the rent,FALSE,,,Smoking in public places. It is against the law to smoke tobacco products in nearly every enclosed public place in the UK. There are signs displayed to tell you where you cannot smoke.
Which Scottish clan was killed for not taking the oath?,A long and illustrious history,The MacLaine of Lochbuie,FALSE,The McDowalls of Garthland,FALSE,The Macpherson of Cluny,FALSE,The MacDonalds of Glencoe,TRUE,,,The correct answer is the MacDonalds of Glencoe.
Which two issues can the devolved administrations pass laws on?,The UK government and your role,Defence,FALSE,Social security,FALSE,Health,TRUE,Education,TRUE,,,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as health and education, are controlled by the devolved administrations."
The assassination of the Archduke Franz Ferdinand of Austria in 1914 led to which of the following wars?,A long and illustrious history,The Crimean War,FALSE,The First World War,TRUE,The Civil War,FALSE,The Second World War,FALSE,,,"On 28 June 1914, Archduke Franz Ferdinand of Austria was assassinated. This set off a chain of events leading to the First World War (1914-18)."
What is the capital city of Scotland?,A long and illustrious history,Glasgow,FALSE,St Andrews,FALSE,Edinburgh,TRUE,Aberdeen,FALSE,,,The capital city of Scotland is Edinburgh.
In 1833 the Emancipation Act abolished slavery throughout the British Empire.,A long and illustrious history,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
What is the name of the process by which many Scottish landlords destroyed individual small farms (known as 'crofts') to make space for large flocks of sheep and cattle?,A long and illustrious history,The Black Death,FALSE,The Corn Removal,FALSE,The Highland Clearances,TRUE,The Enlightenment,FALSE,,,A process began which became known as the 'Highland Clearances'. Many Scottish landlords destroyed individual small farms (known as 'crofts') to make space for large flocks of sheep and cattle.
The Falkland Islands are a British overseas territory and are part of the United Kingdom.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,The Falkland Islands are a British overseas territory. They are also linked to the UK but are not part of it.
Which two of the following are Civil War Battles?,A long and illustrious history,The Battle of Waterloo,FALSE,The Battle of Marston Moor,TRUE,The Battle of Naseby,TRUE,The Battle of Agincourt,FALSE,,,The Battles of Marston Moor and Naseby.
What was the name of the activist group who fought for the women's right to vote?,A long and illustrious history,Chartists,FALSE,Beefeaters,FALSE,Suffragettes,TRUE,Quakers,FALSE,,,"In the late 19th and early 20th centuries, an increasing number of women campaigned and demonstrated for greater rights and, in particular, the right to vote. They formed the women's suffrage movement and became known as the 'suffragettes'."
What UK landmark was voted as Britain's favourite view in 2007?,A long and illustrious history,The Big Ben,FALSE,Lake District,TRUE,Snowdonia,FALSE,The London Eye,FALSE,,,"In 2007, television viewers voted Wastwater (Lake District) as Britain's favourite view."
Who were the first people to live in Britain in what we call the Stone Age?,A long and illustrious history,Farmers,FALSE,Peasants,FALSE,Hunter-gatherers,TRUE,Pirates,FALSE,,,The first people to live in Britain were hunter-gatherers.
What is the name of the movement against the authority of the Pope and the ideas of the Catholic Church that took place during the reign of Henry VIII?,A long and illustrious history,The Reformation,TRUE,The Enlightenment,FALSE,The Glorious Revolution,FALSE,The Renaissance,FALSE,,,The correct answer is the Reformation.
What do you need to do to apply for a National Insurance Number?,The UK government and your role,Contact the NHS,FALSE,Contact the Department for Work and Pensions (DWP),TRUE,Contact your local MP,FALSE,Ask you employer to get it for you,FALSE,,,"If you have permission to work in the UK, you will need to telephone the Department for Work and Pensions (DWP) to arrange to get a National Insurance number."
Which of the following is a major horse-racing event in England?,Arts and culture,The Wimbledon Championship,FALSE,Royal Ascot,TRUE,The Open Championship,FALSE,The Six Nations Championship,FALSE,,,"Famous horse-racing events include: Royal Ascot, a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."
How many members form a jury in Scotland?,Government and the law,12,FALSE,14,FALSE,15,TRUE,20,FALSE,,,In Scotland a jury has 15 members.
What is known as Lent?,Arts and culture,The 40 days before Christmas,FALSE,The 40 days after Easter,FALSE,The 40 days before Easter,TRUE,The 40 days after Christmas,FALSE,,,The 40 days before Easter are known as Lent.
When was the last successful foreign invasion of England?,A long and illustrious history,1415,FALSE,1314,FALSE,1066,TRUE,1200,FALSE,,,The Norman Conquest was the last successful foreign invasion of England in 1066.
World War II started as a result of Germany invading which country?,A long and illustrious history,France,FALSE,Russia,FALSE,Poland,TRUE,Austria,FALSE,,,The Second World War started when Hitler invaded Poland in 1939. Britain and France declared war in order to stop his aggression.
Which flower is associated with Scotland?,A long and illustrious history,The Shamrock,FALSE,The Rose,FALSE,The Daffodil,FALSE,The Thistle,TRUE,,,The flower associated with Scotland is the thistle.
Police complaints can only be made by writing to the Chief Constable of the police force involved.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,"false. Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
Which of the following is a responsibility of the Home Secretary?,The UK government and your role,Economy,FALSE,Crime,TRUE,Education,FALSE,Defence,FALSE,,,"The Home Secretary is responsible for crime, policing and immigration."
When is St David's day celebrated?,A long and illustrious history,1st March,TRUE,17th March,FALSE,23rd April,FALSE,17th April,FALSE,,,"St David's day, patron of Wales, is celebrated on the 1st of March."
"What happened to 'Mary, Queen of Scots' after she spent 20 years in prison?",A long and illustrious history,She became Queen of England,FALSE,She was sent to France,FALSE,She escaped to Denmark,FALSE,She was executed,TRUE,,,"Mary was eventually executed, accused of plotting against Elizabeth I."
What did Francis Crick discover?,Historical figures,The MRI (magnetic resonance imaging) scanner,FALSE,The jet engine,FALSE,The IVF (in-vitro fertilisation) therapy,FALSE,The structure of the DNA molecule,TRUE,,,Francis Crick discovered the structure of the DNA molecule.
"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK.",The UK values and principles,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
"How many national parks are there in England, Wales and Scotland?",The UK government and your role,25,FALSE,15,TRUE,18,FALSE,42,FALSE,,,"There are 15 national parks in England, Wales and Scotland."
Is Northern Ireland part of Great Britain?,The UK values and principles,Yes,FALSE,No,TRUE,,,,,,,"Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland."
"If you are a dog owner, which two things should your dog's collar have when you go out for a walk?",The UK values and principles,The owner's address,TRUE,The owner's name,TRUE,The dog's breed,FALSE,The dog's name,FALSE,,,All dogs in public places must wear a collar showing the name and address of the owner.
What day relates to the death of Jesus Christ?,Arts and culture,Good Friday,TRUE,Easter Sunday,FALSE,Easter Monday,FALSE,Ash Wednesday,FALSE,,,Easter takes place in March or April. It marks the death of Jesus Christ on Good Friday and his rising from the dead on Easter Sunday.
A responsibility of the MPs is to represent everyone in their :,The UK government and your role,County,FALSE,Estate,FALSE,District,FALSE,Constituency,TRUE,,,A responsibility of the MPs is to represent everyone in their constituency.
What was achieved with the Magna Carta?,A long and illustrious history,It restricted the King's power,TRUE,It increased the King's power,FALSE,It restricted the rights of the farmers,FALSE,It increased women's power,FALSE,,,"The Magna Carta established the idea that even the king was subject to the law. It protected the rights of the nobility and restricted the king's power to collect taxes or to make and change laws. In future, the king would need to involve his noblemen in decisions."
Female genital mutilation (FGM) or taking a girl or woman abroad for FGM is illegal in the UK and it is a criminal offence.,The UK values and principles,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
What year were women given the right to vote?,A long and illustrious history,1918,TRUE,1925,FALSE,1949,FALSE,1914,FALSE,,,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
Which two of the following are British overseas territories?,The UK values and principles,St Helena,TRUE,Solomon Islands,FALSE,Mauritius,FALSE,The Falkland Islands,TRUE,,,"There are several British overseas territories, such as St Helena and the Falkland Islands. They are linked to the UK but are not part of it."
Who did the English defeat in 1588?,A long and illustrious history,The Normans,FALSE,The Romans,FALSE,The Spanish Armada,TRUE,The Saxons,FALSE,,,In 1588 the English defeated the Spanish Armada (a large fleet of ships).
Who designed the Cenotaph?,A long and illustrious history,Sir Norman Foster,FALSE,Lancelot 'Capability' Brown,FALSE,Sir Edwin Lutyens,TRUE,Isambard Kingdom Brunel,FALSE,,,"Sir Edwin Lutyens was responsible for designing many war memorials throughout the world, including the Cenotaph in Whitehall."
How often are the members of the Welsh government elected?,The UK government and your role,Every 5 years,FALSE,Every 2 years,FALSE,Every 4 years,TRUE,Every 3 years,FALSE,,,There are 60 members of the Welsh government or members of the Senedd (SMs) and elections are held every four years using a form of proportional representation.
During which period did the Beatles become popular and social laws were liberalised?,A long and illustrious history,1960s,TRUE,1970s,FALSE,1980s,FALSE,1950s,FALSE,,,"The decade of the 1960s was a period of significant social change. It was known as the 'swinging sixties'. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."
The Man Booker Prize is awarded in which of the following categories?,A long and illustrious history,Films,FALSE,Sport,FALSE,Literature,TRUE,Music,FALSE,,,"The Man Booker Prize for Fiction is awarded annually for the best fiction novel (literature) written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."
What sort of election takes place when a member of the Parliament (MP) dies or resigns?,The UK government and your role,Coalition,FALSE,Pre-selection,FALSE,Random selection,FALSE,By-election,TRUE,,,"If an MP dies or resigns, there will be a fresh election, called a by-election, in his or her constituency."
What is the Turner Prize?,A long and illustrious history,A literature award,FALSE,A music award,FALSE,A contemporary art award,TRUE,A theatre award,FALSE,,,The Turner Prize was established in 1984 and celebrates contemporary art. The Turner Prize is recognised as one of the most prestigious visual art awards in Europe.
Which flower is associated with Northern Ireland?,A long and illustrious history,The daffodil,FALSE,The thistle,FALSE,The shamrock,TRUE,The rose,FALSE,,,The flower associated with Northern Ireland is the shamrock.
The last battle between Britain and France was the battle of Waterloo.,A long and illustrious history,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
£100 is the highest value note in circulation in the UK.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,This statement is false.
Where is the Lake District National Park located?,Arts and culture,Scotland,FALSE,Wales,FALSE,England,TRUE,Northern Ireland,FALSE,,,The Lake District is in England.
Which two responsibilities will you have as a British citizen?,The UK values and principles,To buy food locally,FALSE,To volunteer in a community project at least once a year,FALSE,To look after yourself and your family,TRUE,"To respect the rights of others, including their right to their own opinions",TRUE,,,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
Who was born in Stratford-upon-Avon?,Historical figures,Jane Austen,FALSE,Charles Dickens,FALSE,William Shakespeare,TRUE,Thomas Hardy,FALSE,,,"William Shakespeare was born in Stratford-upon-Avon, England."
Why is 1928 an important year in women's voting history?,A long and illustrious history,"Women were given the right to vote at the age of 18, the same as men.",FALSE,Women were given the right to vote at the age of 25.,FALSE,Women were given the right to vote at the age of 30.,FALSE,"Women were given the right to vote at the age of 21, the same as men.",TRUE,,,"In 1928, women were given the right to vote at the age of 21, the same as men."
What does Hogmanay refer to?,Arts and culture,Christmas Day in Wales,FALSE,New Year's Eve in Scotland,TRUE,Christmas Day in Scotland,FALSE,New Year's Eve in Wales,FALSE,,,"In Scotland, the 31st of December (New Year's Eve) is called Hogmanay."
What is the capital city of Northern Ireland?,A long and illustrious history,Cork,FALSE,Edinburgh,FALSE,Belfast,TRUE,Dublin,FALSE,,,The capital city of Northern Ireland is Belfast.
Which of the following wars took place between 1899 and 1902 in South Africa?,A long and illustrious history,The Hundred Years War,FALSE,The Boer War,TRUE,The First World War,FALSE,The Crimean War,FALSE,,,The Boer War took place between 1899 and 1902 in South Africa.
Northern Ireland uses a system called 'individual registration' and all those entitled to vote must complete their own registration form.,The UK government and your role,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
Which two of the following policies are not controlled by the devolved administrations?,The UK government and your role,Health,FALSE,Education,FALSE,Defence,TRUE,Immigration,TRUE,,,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as education, are controlled by the devolved administrations."
"How old do citizens of the UK, the Irish Republic or the Commonwealth have to be to stand for public office?",The UK government and your role,18,TRUE,21,FALSE,16,FALSE,25,FALSE,,,"Most citizens of the UK, the Irish Republic or the Commonwealth aged 18 or over can stand for public office. There are some exceptions, including: members of the armed forces, civil servants and people found guilty of certain criminal offences."
How did the Government promote policies of free trade during the Victorian Age?,A long and illustrious history,Abolishing a number of taxes on imported goods,TRUE,Abolishing the exportation of local produce,FALSE,Preventing the importation of cheap raw materials,FALSE,Preventing the importation of cheap grain,FALSE,,,"During Victorian times, the government began to promote policies of free trade, abolishing a number of taxes on imported goods. One example of this was the repealing of the Corn Laws in 1846. These had prevented the import of cheap grain. The reforms helped the development of the British industry, because raw materials could now be imported cheaply."
Who was Admiral Nelson?,A long and illustrious history,One of the tribal leaders who fought against the Romans,FALSE,A British officer in charge of the British army at the Battle of Waterloo,FALSE,A British general who established the authority of the English Parliament,FALSE,A British officer in charge of the British fleet at the Battle of Trafalgar against the Spanish fleet,TRUE,,,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar against the Spanish fleet and was killed in the battle.
"During the Middle Ages, who were the serfs?",A long and illustrious history,Peasants who had a small area of their lord's agricultural land,TRUE,Soldiers who fought at the Battle of Trafalgar,FALSE,Noblemen who formed part of the king's council of advisers,FALSE,A group of skilled people from Holland who came to England during the Middle Ages,FALSE,,,Serfs were peasants who had a small area of their lord's land where they could grow food.
Which invention lead to the rapid development of the industry in Britain during the 18th and 19th centuries?,A long and illustrious history,The Radar,FALSE,The Steam Power,TRUE,The Jet Engine,FALSE,The Turing Machine,FALSE,,,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use of steam power.
MPs can only be contacted by post.,The UK government and your role,TRUE,FALSE,FALSE,TRUE,,,,,,,"You can contact MPs by letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local 'surgeries', where constituents can go in person to talk about issues that are of concern to them."
What movement challenged the authority of the Pope?,A long and illustrious history,The Swinging Sixties,FALSE,The Reformation,TRUE,The Suffragettes,FALSE,The Enlightenment,FALSE,,,The Reformation was a movement against the authority of the Pope and the ideas and practices of the Roman Catholic Church.
What English King introduced the Domesday Book?,A long and illustrious history,King Henry V,FALSE,King Henry IV,FALSE,William the Conqueror,TRUE,"Harold, the Saxon king of England",FALSE,,,"William the Conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book."
What did 'the Butler Act' introduce in 1944?,A long and illustrious history,"Free primary education in England, Wales and Scotland",FALSE,"Free university fees in England, Wales, Scotland and Northern Ireland",FALSE,"Free primary and secondary education in England, Wales and Scotland",FALSE,Free secondary education in England and Wales,TRUE,,,"Richard Austen Butler became a Conservative MP in 1923 and held several positions before becoming responsible for education in 1941. In this role, he oversaw the introduction of the Education Act 1944 (often called 'The Butler Act'), which introduced free secondary education in England and Wales."
What is the small claims procedure?,The UK government and your role,An informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer,TRUE,A procedure that helps people to make small home insurance claims in certain circumstances,FALSE,,,,,,,The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer.
What building was constructed in Hyde Park to hold the Great Exhibition of 1851?,A long and illustrious history,The Crystal Palace,TRUE,Buckingham Palace,FALSE,Kensington Palace,FALSE,Apsley House,FALSE,,,"In 1851, the Great Exhibition opened in Hyde Park in the Crystal Palace, a huge building made of steel and glass. Exhibits ranged from huge machines to handmade goods."
Who was Florence Nightingale?,Historical figures,An economist,FALSE,A painter,FALSE,A nurse,TRUE,A poet,FALSE,,,Florence Nightingale was a nurse. She is often regarded as the founder of modern nursing.
Who is the patron Saint of England?,A long and illustrious history,St George,TRUE,St Patrick,FALSE,St David,FALSE,St Andrew,FALSE,,,The patron Saint of England is St George.
Where is Loch Lomond and the Trossachs National Park located?,A long and illustrious history,England,FALSE,Wales,FALSE,Scotland,TRUE,Northern Ireland,FALSE,,,Loch Lomond and the Trossachs National Park is located in the west of Scotland.
Wales has its own established church.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,There is no established Church in Wales or Northern Ireland.
What stories are associated with Geoffrey Chaucer?,A long and illustrious history,The Cambridge Tales,FALSE,The Eastbourne Tales,FALSE,The Canterbury Tales,TRUE,The London Tales,FALSE,,,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales.
When is Boxing Day celebrated?,Arts and culture,31st October,FALSE,26th December,TRUE,24th December,FALSE,01st January,FALSE,,,Boxing Day is the day after Christmas Day (26th December) and is a public holiday.
What is the name of the holiday when banks and many other businesses are closed for the day?,A long and illustrious history,Credit Holidays,FALSE,Branch Holidays,FALSE,Bank Holidays,TRUE,Business Holidays,FALSE,,,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
Why were women given the right to vote?,A long and illustrious history,In recognition of the contribution women made to the war effort during the First World War,TRUE,In recognition of the contribution women made to the war effort during the Second World War,FALSE,In recognition of the contribution women made to the war effort during the Crimean War,FALSE,In recognition of the contribution women made to the war effort during the Civil War,FALSE,,,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
What do you need to drive in the UK?,The UK government and your role,An 'L' plate,FALSE,A National Insurance Number,FALSE,A valid driving licence,TRUE,An 'R' plate,FALSE,,,"In the UK, you must have a driving licence to drive on public roads."
Where does 'the Fringe' festival take place?,A long and illustrious history,Fraserburgh,FALSE,Edinburgh,TRUE,Inverness,FALSE,St Andrews,FALSE,,,"The Edinburgh Festival takes place in Edinburgh, Scotland, every summer. It is a series of different arts and cultural festivals, with the biggest and most well-known being the Edinburgh Festival Fringe ('the Fringe')."
How many members does the Welsh government have?,The UK government and your role,150,FALSE,120,FALSE,90,FALSE,60,TRUE,,,There are 60 members of the Welsh government or members of the Senedd (SMs) and elections are held every four years using a form of proportional representation.
The names or photographs of young people found guilty of a crime can be published in newspapers or used by the media.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,"Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media."
What was Edward Elgar famous for?,A long and illustrious history,He was a musician,TRUE,He was a tennis player,FALSE,He was a comedian,FALSE,He was an actor,FALSE,,,Sir Edward Elgar (1857-1934) was a musician. His best known work is probably the Pomp and Circumstance Marches. March No1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall.
Which of the following is not a British banknote?,The UK values and principles,£50,FALSE,£25,TRUE,£20,FALSE,£5,FALSE,,,There are no £25 notes in the UK.
Where does the Scottish Grand National take place?,A long and illustrious history,Fife,FALSE,Edinburgh,FALSE,Ayr,TRUE,St Andrews,FALSE,,,The Scottish Grand National takes place at Ayr.
The laws passed after the Glorious Revolution marked the beginning of the ______.,A long and illustrious history,Constitutional monarchy,TRUE,Constitutional republic,FALSE,,,,,,,The laws passed after the Glorious Revolution marked the beginning of the constitutional monarchy.
"During the reign of Elizabeth I, a large fleet of ships was sent to England to conquer the country and to restore Catholicism, where did this fleet come from?",A long and illustrious history,France,FALSE,Portugal,FALSE,Spain,TRUE,Italy,FALSE,,,"Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
What did the Habeas Corpus Act introduce?,A long and illustrious history,That every prisoner has a right to a court hearing,TRUE,A salary for members of Parliament (MPs),FALSE,"Financial help for the unemployed, old-age pensions and free school meals",FALSE,Measures to improve the conditions of workers,FALSE,,,The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for 'you must present the person in court'. The Act guaranteed that no one could be held prisoner unlawfully. Every prisoner has a right to a court hearing.
What did Emmeline Pankhurst fight for?,A long and illustrious history,The right to liberty and security,FALSE,The right for women to vote,TRUE,Freedom of expression,FALSE,The right to a fair trial,FALSE,,,"Emmeline Pankhurst she set up the women's Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women's Social and Political Union (WSPU). This was the first group whose members were called 'suffragettes'. The group used civil disobedience as part of their protest to gain the vote for women. In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
What is 'the Proms'?,A long and illustrious history,"An annual event that gives awards in a range of categories, such as best British group and best British solo artist",FALSE,"An annual cultural festival which includes music, dance, art and original performances largely in Welsh",FALSE,An eight-week summer season of daily orchestral classical music concerts,TRUE,Light-hearted plays with music and comedy,FALSE,,,"The Proms is an eight-week summer season of orchestral classical music that takes place in various venues, including the Royal Albert Hall in London."
What was Isaac Newton known for?,Historical figures,The discovery of insulin,FALSE,The discovery of gravity,TRUE,The discovery of penicillin,FALSE,The discovery of steam power,FALSE,,,"Newton's most famous published work was Philosophiae Naturalis Principia Mathematica ('Mathematical Principle of Natural Philosophy'), which showed how gravity applied to the whole universe."
When did the WWI come to an end?,A long and illustrious history,In 1922,FALSE,In 1918,TRUE,In 1945,FALSE,In 1943,FALSE,,,"In 1918
"
Is St Helena part of the UK?,The UK values and principles,Yes,FALSE,No,TRUE,,,,,,,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but are not part of it."
Where is Theatreland?,A long and illustrious history,Docklands,FALSE,London's East End,FALSE,London's West End,TRUE,London's South End,FALSE,,,"London's West End, also known as 'Theatreland', is particularly well known for its theatres."
What is the name of the UK currency?,A long and illustrious history,Euro,FALSE,Pound Sterling,TRUE,Peso,FALSE,Dollar,FALSE,,,The currency in the UK is the pound sterling (symbol £).
What other name is given to Diwali?,Arts and culture,The Festival of Lights,TRUE,Ash Wednesday,FALSE,Good Friday,FALSE,Easter Monday,FALSE,,,Diwali is often called the Festival of Lights.
